File Name,	 vector,	 SM Loc (X), 	 SM Loc (Y), 	 SM Loc (Z), 	 L*,	 converged L*,	 Convergence Lines 	, tol
../../../unit_tests/test_data/WHISingle.vts,	B,	2.60659122467,	1.21369087696,	0.713812410831,	3.00212840466,	2.98609481166,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	2.97991704941,	1.35830175877,	0.798862874508,	3.43903669526,	3.44349387571,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	2.06959462166,	1.30701375008,	0.768698692322,	nan,	nan,	2.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	2.39222121239,	1.51086676121,	0.888591468334,	3.07590378854,	3.06841528934,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	2.74551391602,	1.69623053074,	0.997610151768,	3.54163386199,	3.5528337708,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	1.84870135784,	1.53422808647,	0.902331113815,	2.78636889566,	2.78636672285,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	2.1390941143,	1.775354743,	1.04414570332,	3.17477631255,	3.18421819934,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	2.46629405022,	2.00036978722,	1.1764844656,	3.66285442966,	3.67311742633,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	1.60101509094,	1.72983634472,	1.01737487316,	2.9386114093,	2.91693337092,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	1.85464417934,	2.00403666496,	1.17864108086,	3.31191557498,	3.31137681121,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	2.14942669868,	2.26678681374,	1.3331733942,	3.84057483565,	3.84211943752,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	1.33284080029,	1.89249789715,	1.11304140091,	3.00838460011,	2.98683488209,	9.0,	1.0
